checkpoint,run,score,player
checkpoint-2501,25,51,NN
checkpoint-2501,25,37,GREEDY
checkpoint-2501,26,36,AGGRESSIVE
checkpoint-2501,26,42,GREEDY
checkpoint-2501,26,36,NN
checkpoint-2501,26,38,DEFENSIVE
checkpoint-2501,27,38,NN
checkpoint-2501,27,36,AGGRESSIVE
checkpoint-2501,27,36,GREEDY
checkpoint-2501,27,36,DEFENSIVE
checkpoint-2501,28,38,GREEDY
checkpoint-2501,28,40,AGGRESSIVE
checkpoint-2501,28,73,NN
checkpoint-2501,28,36,DEFENSIVE
checkpoint-2501,29,52,NN
checkpoint-2501,29,36,AGGRESSIVE
checkpoint-2501,29,0,GREEDY
checkpoint-2501,29,0,DEFENSIVE
checkpoint-2501,30,36,GREEDY
checkpoint-2501,30,0,NN
checkpoint-2501,30,0,AGGRESSIVE
checkpoint-2501,30,37,DEFENSIVE
checkpoint-2501,31,37,NN
checkpoint-2501,31,36,AGGRESSIVE
checkpoint-2501,31,0,DEFENSIVE
checkpoint-2501,31,0,GREEDY
checkpoint-3002,0,38,NN
checkpoint-3002,0,36,AGGRESSIVE
checkpoint-3002,0,36,GREEDY
checkpoint-3002,0,36,DEFENSIVE
checkpoint-3002,1,36,NN
checkpoint-3002,1,36,DEFENSIVE
checkpoint-3002,1,49,GREEDY
checkpoint-3002,1,83,AGGRESSIVE
checkpoint-3002,2,36,DEFENSIVE
checkpoint-3002,2,40,NN
checkpoint-3002,2,36,AGGRESSIVE
checkpoint-3002,2,36,GREEDY
checkpoint-3002,3,36,AGGRESSIVE
checkpoint-3002,3,36,NN
checkpoint-3002,3,61,DEFENSIVE
checkpoint-3002,3,36,GREEDY
checkpoint-3002,4,36,AGGRESSIVE
checkpoint-3002,4,36,DEFENSIVE
checkpoint-3002,4,46,NN
checkpoint-3002,4,36,GREEDY
checkpoint-3002,5,36,DEFENSIVE
checkpoint-3002,5,36,GREEDY
checkpoint-3002,5,44,AGGRESSIVE
checkpoint-3002,5,60,NN
checkpoint-3002,6,36,NN
checkpoint-3002,6,36,DEFENSIVE
checkpoint-3002,6,36,AGGRESSIVE
checkpoint-3002,6,36,GREEDY
checkpoint-3002,7,36,NN
checkpoint-3002,7,37,AGGRESSIVE
checkpoint-3002,7,36,GREEDY
